Country_Code,Connections
ABW,0
AFG,0
AGO,0
AIA,0
ALA,0
ALB,0
AND,0
ARE,0
ARG,3
ARM,0
ASM,0
ATA,0
ATF,0
ATG,0
AUS,1
AUT,1
AZE,0
BDI,0
BEL,2
BEN,1
BES,0
BFA,0
BGD,1
BGR,1
BHR,0
BHS,0
BIH,0
BLM,0
BLR,0
BLZ,0
BMU,0
BOL,0
BRA,14
BRB,1
BRN,0
BTN,0
BVT,0
BWA,0
CAF,0
CAN,24
CCK,0
CHE,0
CHL,3
CHN,181
CIV,0
CMR,1
COD,0
COG,0
COK,0
COL,7
COM,0
CPV,0
CRI,0
CUB,0
CUW,0
CXR,0
CYM,1
CYP,0
CZE,1
DEU,27
DJI,0
DMA,0
DNK,0
DOM,0
DZA,0
ECU,2
EGY,1
ERI,0
ESH,0
ESP,6
EST,0
ETH,0
FIN,1
FJI,0
FLK,0
FRA,63
FRO,0
FSM,0
GAB,0
GBR,14
GEO,0
GGY,0
GHA,0
GIB,0
GIN,0
GLP,0
GMB,0
GNB,0
GNQ,0
GRC,1
GRD,0
GRL,0
GTM,0
GUF,0
GUM,0
GUY,0
HKG,6
HMD,0
HND,0
HRV,1
HTI,0
HUN,3
IDN,9
IMN,0
IND,37
IOT,0
IRL,2
IRN,0
IRQ,0
ISL,0
ISR,0
ITA,13
JAM,0
JEY,0
JOR,1
JPN,2
KAZ,2
KEN,0
KGZ,0
KHM,1
KIR,0
KNA,0
KOR,20
KWT,0
LAO,0
LBN,0
LBR,0
LBY,0
LCA,0
LIE,0
LKA,0
LSO,0
LTU,1
LUX,1
LVA,0
MAC,0
MAF,0
MAR,1
MCO,0
MDA,0
MDG,0
MDV,0
MEX,5
MHL,0
MKD,0
MLI,1
MLT,0
MMR,0
MNE,0
MNG,0
MNP,0
MOZ,0
MRT,0
MSR,0
MTQ,0
MUS,1
MWI,0
MYS,4
MYT,0
NAM,0
NCL,0
NER,0
NFK,0
NGA,0
NIC,0
NIU,0
NLD,9
NOR,0
NPL,0
NRU,0
NZL,0
OMN,0
PAK,1
PAN,0
PCN,0
PER,0
PHL,1
PLW,0
PNG,0
POL,7
PRI,0
PRK,0
PRT,1
PRY,1
PSE,0
PYF,0
QAT,0
REU,0
ROU,0
RUS,10
RWA,0
SAU,0
SDN,0
SEN,1
SGP,36
SGS,0
SHN,0
SJM,0
SLB,0
SLE,0
SLV,0
SMR,0
SOM,0
SPM,0
SRB,2
SSD,0
STP,0
SUR,0
SVK,0
SVN,1
SWE,0
SWZ,0
SXM,0
SYC,0
SYR,0
TCA,0
TCD,0
TGO,0
THA,9
TJK,0
TKL,0
TKM,0
TLS,0
TON,0
TTO,0
TUN,1
TUR,1
TUV,0
TWN,5
TZA,0
UGA,1
UKR,5
UMI,0
URY,1
USA,97
UZB,0
VAT,0
VCT,0
VEN,0
VGB,0
VIR,0
VNM,12
VUT,0
WLF,0
WSM,0
YEM,0
ZAF,1
ZMB,0
ZWE,0
